Timestamp Start;Timestamp End;Run #;Tot Clients;Tot Avg X;Tot Avg R;Tot Avg U;CPU Demand;
2015-12-8 08:54:04;2015-12-8 08:57:04;9;4400;705;1;26.76365000000000000000;.07592524822695035460;
2015-12-8 09:00:09;2015-12-8 09:03:09;9;5500;878;1;34.05515000000000000000;.07757437357630979498;
2015-12-8 09:06:55;2015-12-8 09:09:55;9;6600;1052;1;41.25505000000000000000;.07843165399239543726;
2015-12-8 09:13:34;2015-12-8 09:16:34;9;7700;1223;1;49.65955000000000000000;.08120940310711365494;
2015-12-8 09:20:15;2015-12-8 09:23:15;9;8800;1397;14;59.87825000000000000000;.08572405153901216893;
2015-12-8 09:26:54;2015-12-8 09:29:54;9;9900;1575;10;67.71745000000000000000;.08599041269841269841;
2015-12-8 09:33:52;2015-12-8 09:36:52;9;11000;1751;33;76.24855000000000000000;.08709143346659051970;
2015-12-8 09:40:35;2015-12-8 09:43:35;10;1100;176;1;7.00271500000000000000;.07957630681818181818;
2015-12-8 09:46:27;2015-12-8 09:49:27;10;2200;346;1;13.50460000000000000000;.07806127167630057803;
2015-12-8 09:52:24;2015-12-8 09:55:24;10;3300;528;1;20.10225000000000000000;.07614488636363636363;
2015-12-8 09:58:25;2015-12-8 10:01:25;10;4400;702;1;26.88365000000000000000;.07659159544159544159;
2015-12-8 10:04:24;2015-12-8 10:07:24;10;5500;871;1;34.43885000000000000000;.07907887485648679678;
2015-12-8 10:10:35;2015-12-8 10:13:35;10;6600;1049;1;41.87805000000000000000;.07984375595805529075;
2015-12-8 10:17:06;2015-12-8 10:20:06;10;7700;1221;1;49.73210000000000000000;.08146126126126126126;
2015-12-8 10:24:03;2015-12-8 10:27:03;10;8800;1396;2;58.47855000000000000000;.08378015759312320916;
2015-12-8 10:31:01;2015-12-8 10:34:01;10;9900;1572;9;67.31870000000000000000;.08564720101781170483;
2015-12-8 10:38:04;2015-12-8 10:41:04;10;11000;1732;126;82.02940000000000000000;.09472217090069284064;
